EventId,EventTemplate,Occurrences
Event0,Receiving block <*> src <*> <*> dest <*>,1723232
Event1,BLOCK* NameSystem.allocateBlock <*>,575061
Event2,PacketResponder <*> for block <*>,1706728
Event3,Received block <*> of size <*>,1713611
Event4,BLOCK* NameSystem.addStoredBlock blockMap updated <*> is added to <*> size <*>,1719741
Event5,<*> Transmitted block <*> to <*> ,6937
Event6,<*> Starting thread to transfer block <*> to <*> <*>,7002
Event7,BLOCK* ask <*>  to replicate <*> to datanode(s) <*>  <*>,7002
Event8,<*> Served block <*> to <*>,428726
Event9,Verification succeeded for <*>,120036
Event10,writeBlock <*> received exception <*>,3300
Event11,PacketResponder <*> 2 Exception java.io.EOFException,19
Event12,writeBlock <*> received exception java.io.IOException Could not read from stream,82
Event13,Deleting block <*> file <*>,1402047
Event14,Receiving empty packet for block <*>,1464
Event15,<*> <*> <*> <*> <*> blk_-3102267849859399193 java.io.IOException Connection reset by peer,2
Event16,BLOCK* NameSystem.addStoredBlock Redundant addStoredBlock request received for <*> on <*>  size <*>,975
Event17,<*> <*> <*> <*> java.net.SocketTimeoutException <*> millis timeout while waiting for channel to be ready for <*> ch java.nio.channels.SocketChannel[connected local <*> <*> remote <*> ],42
Event18,<*> <*> <*> <*> <*> blk_4241467193520768333 java.io.IOException Connection reset by peer,4
Event19,<*> <*> <*> <*> java.io.InterruptedIOException Interruped while waiting for IO on channel <*> <*> <*> <*> <*> <*> <*> <*> millis timeout left.,61
Event20,Exception in receiveBlock for block <*>,128
Event21,Changing block file offset of block <*> from 0 to <*> meta file offset to <*>,65
Event22,Exception <*> <*> <*> <*> <*> java.io.IOException Connection reset by peer,14
Event23,<*> Exception writing block <*> to mirror <*> ,34
Event24,PacketResponder <*> <*> Exception java.io.IOException Broken pipe,6
Event25,writeBlock <*> received exception java.io.IOException Block <*> is valid and cannot be written to.,9
Event26,<*> Failed to transfer <*> to <*>  got java.io.IOException Connection reset by peer,9
Event27,BLOCK* NameSystem.delete <*> is added to invalidSet of <*>,1396174
Event28,Unexpected error trying to delete block <*> BlockInfo not found in volumeMap.,5545
Event29,BLOCK* <*> <*> <*>  <*> it does not belong to any file.,1292
Event30,<*> Got exception while serving <*> to <*>,356207
Event31,Reopen Block <*>,5
Event32,PacketResponder <*> <*> Exception java.nio.channels.ClosedByInterruptException,10
Event33,PendingReplicationMonitor timed out block <*>,47
Event34,Adding an already existing block <*>,10
Event35,PacketResponder <*> 1 Exception java.io.IOException The stream is closed,2
