LineId,Month,Date,Time,Level,ComponentAndPID,Content,EventId,EventTemplate
1,Feb,11,06:25:02,hydra0,CRON[11220],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
2,Feb,11,06:35:01,hydra0,CRON[13230],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
3,Feb,11,06:35:01,hydra0,CRON[13230],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
4,Feb,11,06:39:01,hydra0,CRON[14321],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
5,Feb,11,06:39:01,hydra0,CRON[14321],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
6,Feb,11,06:39:01,hydra0,php7.0,DIGEST-MD5 common mech free,Event1,DIGEST-MD5 common mech free
7,Feb,11,06:45:01,hydra0,CRON[15494],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
8,Feb,11,06:45:01,hydra0,CRON[15494],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
9,Feb,11,06:55:01,hydra0,CRON[17708],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
10,Feb,11,06:55:01,hydra0,CRON[17708],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
11,Feb,11,06:56:27,hydra0,sshd[27278],Received signal 15; terminating.,Event2,Received signal 15; terminating.
12,Feb,11,06:56:27,hydra0,sshd[19259],Server listening on 0.0.0.0 port 22.,Event3,Server listening on * port 22.
13,Feb,11,06:56:27,hydra0,sshd[19259],Server listening on :: port 22.,Event3,Server listening on * port 22.
14,Feb,11,07:05:01,hydra0,CRON[20348],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
15,Feb,11,07:05:01,hydra0,CRON[20348],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
16,Feb,11,07:09:01,hydra0,CRON[21505],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
17,Feb,11,07:09:01,hydra0,CRON[21505],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
18,Feb,11,07:09:01,hydra0,php7.0,DIGEST-MD5 common mech free,Event1,DIGEST-MD5 common mech free
19,Feb,11,07:15:01,hydra0,CRON[22801],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
20,Feb,11,07:15:01,hydra0,CRON[22801],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
21,Feb,11,07:17:01,hydra0,CRON[24041],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
22,Feb,11,07:17:01,hydra0,CRON[24041],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
23,Feb,11,07:25:01,hydra0,CRON[25559],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
24,Feb,11,07:25:01,hydra0,CRON[25559],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
25,Feb,11,07:35:01,hydra0,CRON[28155],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
26,Feb,11,07:35:01,hydra0,CRON[28155],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
27,Feb,11,07:39:01,hydra0,CRON[29423],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
28,Feb,11,07:39:01,hydra0,CRON[29423],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
29,Feb,11,07:39:01,hydra0,php7.0,DIGEST-MD5 common mech free,Event1,DIGEST-MD5 common mech free
30,Feb,11,07:45:01,hydra0,CRON[30669],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
31,Feb,11,07:45:01,hydra0,CRON[30669],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
32,Feb,11,07:55:01,hydra0,CRON[32992],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
33,Feb,11,07:55:01,hydra0,CRON[32992],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
34,Feb,11,08:05:01,hydra0,CRON[35635],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
35,Feb,11,08:05:01,hydra0,CRON[35635],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
36,Feb,11,08:09:01,hydra0,CRON[36724],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
37,Feb,11,08:09:01,hydra0,CRON[36724],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
38,Feb,11,08:09:01,hydra0,php7.0,DIGEST-MD5 common mech free,Event1,DIGEST-MD5 common mech free
39,Feb,11,08:15:01,hydra0,CRON[37873],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
40,Feb,11,08:15:01,hydra0,CRON[37873],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
41,Feb,11,08:17:01,hydra0,CRON[39167],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
42,Feb,11,08:17:01,hydra0,CRON[39167],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
43,Feb,11,08:25:01,hydra0,CRON[40850],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
44,Feb,11,08:25:01,hydra0,CRON[40850],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
45,Feb,11,08:35:01,hydra0,CRON[2570],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
46,Feb,11,08:35:01,hydra0,CRON[2570],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
47,Feb,11,08:39:01,hydra0,CRON[3681],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
48,Feb,11,08:39:01,hydra0,CRON[3681],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
49,Feb,11,08:39:01,hydra0,php7.0,DIGEST-MD5 common mech free,Event1,DIGEST-MD5 common mech free
50,Feb,11,08:45:01,hydra0,CRON[5136],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
51,Feb,11,08:45:01,hydra0,CRON[5136],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
52,Feb,11,08:55:01,hydra0,CRON[7771],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
53,Feb,11,08:55:01,hydra0,CRON[7771],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
54,Feb,11,09:05:01,hydra0,CRON[10104],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
55,Feb,11,09:05:01,hydra0,CRON[10104],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
56,Feb,11,09:09:01,hydra0,CRON[11345],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
57,Feb,11,09:09:01,hydra0,CRON[11345],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
58,Feb,11,09:09:01,hydra0,php7.0,DIGEST-MD5 common mech free,Event1,DIGEST-MD5 common mech free
59,Feb,11,09:15:01,hydra0,CRON[12645],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
60,Feb,11,09:15:01,hydra0,CRON[12645],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
61,Feb,11,09:17:01,hydra0,CRON[14096],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
62,Feb,11,09:17:01,hydra0,CRON[14096],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
63,Feb,11,09:25:01,hydra0,CRON[15507],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
64,Feb,11,09:25:01,hydra0,CRON[15507],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
65,Feb,11,09:35:01,hydra0,CRON[18227],pam_unix(cron:session): session opened for user root by (uid=0),Event0,* session * for user *
66,Feb,11,09:35:01,hydra0,CRON[18227],pam_unix(cron:session): session closed for user root,Event0,* session * for user *
